Item,Subtype,Type
Potion of Protection from Law,Potions,Magic
Potion of Rage,Potions,Magic
Potion of Reduce Person,Potions,Magic
Potion of Remove Blindness/Deafness,Potions,Magic
Potion of Remove Curse,Potions,Magic
Potion of Remove Disease,Potions,Magic
Potion of Remove Fear,Potions,Magic
Potion of Remove Paralysis,Potions,Magic
Potion of Resist Energy 10 (Acid),Potions,Magic
Potion of Resist Energy 10 (Cold),Potions,Magic
Potion of Resist Energy 10 (Electricity),Potions,Magic
Potion of Resist Energy 10 (Fire),Potions,Magic
Potion of Resist Energy 10 (Sonic),Potions,Magic
Potion of Resist Energy 20 (Acid),Potions,Magic
Potion of Resist Energy 20 (Cold),Potions,Magic
Potion of Resist Energy 20 (Electricity),Potions,Magic
Potion of Resist Energy 20 (Fire),Potions,Magic
Potion of Resist Energy 20 (Sonic),Potions,Magic
Potion of Resist Energy 30 (Acid),Potions,Magic
Potion of Resist Energy 30 (Cold),Potions,Magic
Potion of Resist Energy 30 (Electricity),Potions,Magic
Potion of Resist Energy 30 (Fire),Potions,Magic
Potion of Resist Energy 30 (Sonic),Potions,Magic
Potion of Sanctuary,Potions,Magic
Potion of Shield of Faith +2,Potions,Magic
Potion of Shield of Faith +3,Potions,Magic
Potion of Shield of Faith +4,Potions,Magic
Potion of Shield of Faith +5,Potions,Magic
Potion of Spider Climb,Potions,Magic
Potion of Tongues,Potions,Magic
Potion of Undetectable Alignment,Potions,Magic
Potion of Water Breathing,Potions,Magic
Potion of Water Walk,Potions,Magic
Ring of Animal Friendship,Rings,Magic
Ring of Blinking,Rings,Magic
Ring of Chameleon Power,Rings,Magic
Ring of Climbing,Rings,Magic
Ring of Improved Climbing,Rings,Magic
Ring of Counterspells,Rings,Magic
Ring of Djinni Calling,Rings,Magic
Ring of Air Elemental Command,Rings,Magic
Ring of Earth Elemental Command,Rings,Magic
Ring of Fire Elemental Command,Rings,Magic
Ring of Water Elemental Command,Rings,Magic
Ring of Minor Energy Resistance (Acid),Rings,Magic
Ring of Major Energy Resistance (Acid),Rings,Magic
Ring of Greater Energy Resistance (Acid),Rings,Magic
Ring of Minor Energy Resistance (Cold),Rings,Magic
Ring of Major Energy Resistance (Cold),Rings,Magic
Ring of Greater Energy Resistance (Cold),Rings,Magic
Ring of Minor Energy Resistance (Electricity),Rings,Magic
Ring of Major Energy Resistance (Electricity),Rings,Magic
Ring of Greater Energy Resistance (Electricity),Rings,Magic
Ring of Minor Energy Resistance (Fire),Rings,Magic
Ring of Major Energy Resistance (Fire),Rings,Magic
Ring of Greater Energy Resistance (Fire),Rings,Magic
Ring of Minor Energy Resistance (Sonic),Rings,Magic
Ring of Major Energy Resistance (Sonic),Rings,Magic
Ring of Greater Energy Resistance (Sonic),Rings,Magic
Ring of Evasion,Rings,Magic
Ring of Feather Falling,Rings,Magic
Ring of Force Shield,Rings,Magic
Ring of Freedom of Movement,Rings,Magic
Ring of Friend Shield,Rings,Magic
Ring of Invisibility,Rings,Magic
Ring of Jumping,Rings,Magic
Ring of Improved Jumping,Rings,Magic
Ring of Mind Shielding,Rings,Magic
Ring of Protection +1,Rings,Magic
Ring of Protection +2,Rings,Magic
Ring of Protection +3,Rings,Magic
Ring of Protection +4,Rings,Magic
Ring of Protection +5,Rings,Magic
Ring of the Ram,Rings,Magic
Ring of Regeneration,Rings,Magic
Ring of Shooting Stars,Rings,Magic
Ring of Minor Spell Storing,Rings,Magic
Ring of Spell Storing,Rings,Magic
Ring of Major Spell Storing,Rings,Magic
Ring of Spell Turning,Rings,Magic
Ring of Sustenance,Rings,Magic
Ring of Swimming,Rings,Magic
Ring of Improved Swimming,Rings,Magic
Ring of Telekinesis,Rings,Magic
Ring of Three Wishes,Rings,Magic
Ring of Water Walking,Rings,Magic
Ring of Wizardry I,Rings,Magic
Ring of Wizardry II,Rings,Magic
Ring of Wizardry III,Rings,Magic
Ring of Wizardry IV,Rings,Magic
Ring of X-Ray Vision,Rings,Magic
Staff of Abjuration,Staffs,Magic
Staff of Charming,Staffs,Magic
Staff of Conjuration,Staffs,Magic
Staff of Defense,Staffs,Magic
Staff of Divination,Staffs,Magic
Staff of Earth and Stone,Staffs,Magic
Staff of Enchantment,Staffs,Magic
Staff of Evocation,Staffs,Magic
Staff of Fire,Staffs,Magic
Staff of Frost,Staffs,Magic
Staff of Healing,Staffs,Magic
Staff of Illumination,Staffs,Magic
Staff of Illusion,Staffs,Magic
Staff of Life,Staffs,Magic
Staff of Necromancy,Staffs,Magic
Staff of Passage,Staffs,Magic
Staff of Power,Staffs,Magic
Staff of Size Alteration,Staffs,Magic
Staff of Swarming Insects,Staffs,Magic
Staff of Transmutation,Staffs,Magic
Staff of the Woodlands,Staffs,Magic
Immovable Rod,Rods,Magic
Rod of Absorption,Rods,Magic
Rod of Alertness,Rods,Magic
Rod of Cancellation,Rods,Magic
Rod of Enemy Detection,Rods,Magic
Rod of Flailing,Rods,Magic
Rod of Flame Extinguishing,Rods,Magic
Rod of Lordly Might,Rods,Magic
Rod of Metal and Mineral Detection,Rods,Magic
Rod of Negation,Rods,Magic
Rod of the Python,Rods,Magic
Rod of Rulership,Rods,Magic
Rod of Security,Rods,Magic
Rod of Splendor,Rods,Magic
Rod of Thunder and Lightning,Rods,Magic
Rod of the Viper,Rods,Magic
Rod of Withering,Rods,Magic
Rod of Wonder,Rods,Magic
Scroll of Acid Splash,Scrolls,Magic
Scroll of Arcane Mark,Scrolls,Magic
Scroll of Bleed (Arcane),Scrolls,Magic
Scroll of Dancing Lights,Scrolls,Magic
Scroll of Daze,Scrolls,Magic
Scroll of Detect Magic (Arcane),Scrolls,Magic
Scroll of Detect Poison (Arcane),Scrolls,Magic
Scroll of Disrupt Undead,Scrolls,Magic
Scroll of Flare,Scrolls,Magic
Scroll of Ghost Sound,Scrolls,Magic
Scroll of Light (Arcane),Scrolls,Magic
Scroll of Mage Hand,Scrolls,Magic
Scroll of Mending (Arcane),Scrolls,Magic
Scroll of Message,Scrolls,Magic
Scroll of Open/Close,Scrolls,Magic
Scroll of Prestidigitation,Scrolls,Magic
Scroll of Ray of Frost,Scrolls,Magic
Scroll of Read Magic (Arcane),Scrolls,Magic
Scroll of Resistance (Arcane),Scrolls,Magic
Scroll of Touch of Fatigue,Scrolls,Magic
Scroll of Alarm,Scrolls,Magic
Scroll of Animate Rope (Arcane),Scrolls,Magic
Scroll of Burning Hands,Scrolls,Magic
Scroll of Cause Fear (Arcane),Scrolls,Magic
Scroll of Charm Person,Scrolls,Magic
Scroll of Chill Touch,Scrolls,Magic
Scroll of Color Spray,Scrolls,Magic
Scroll of Comprehend Languages (Arcane),Scrolls,Magic
Scroll of Detect Secret Doors,Scrolls,Magic
Scroll of Detect Undead (Arcane),Scrolls,Magic
Scroll of Disguise Self,Scrolls,Magic
Scroll of Endure Elements (Arcane),Scrolls,Magic
Scroll of Enlarge Person,Scrolls,Magic
Scroll of Erase,Scrolls,Magic
Scroll of Expeditious Retreat,Scrolls,Magic
Scroll of Feather Fall,Scrolls,Magic
Scroll of Floating Disk,Scrolls,Magic
Scroll of Grease,Scrolls,Magic
Scroll of Hold Portal,Scrolls,Magic
Scroll of Hypnotism,Scrolls,Magic
Scroll of Identify,Scrolls,Magic
Scroll of Jump,Scrolls,Magic
Scroll of Mage Armor,Scrolls,Magic
Scroll of Magic Aura,Scrolls,Magic
Scroll of Magic Missile,Scrolls,Magic
Scroll of Magic Weapon (Arcane),Scrolls,Magic
Scroll of Mount,Scrolls,Magic
Scroll of Obscuring Mist (Arcane),Scrolls,Magic
Scroll of Protection from Chaos (Arcane),Scrolls,Magic
Scroll of Protection from Evil (Arcane),Scrolls,Magic
Scroll of Protection from Good (Arcane),Scrolls,Magic
Scroll of Protection from Law (Arcane),Scrolls,Magic
Scroll of Ray of Enfeeblement,Scrolls,Magic
Scroll of Reduce Person,Scrolls,Magic
Scroll of Shield,Scrolls,Magic
Scroll of Shocking Grasp,Scrolls,Magic
Scroll of Silent Image,Scrolls,Magic
Scroll of Sleep,Scrolls,Magic
Scroll of Summon Monster I (Arcane),Scrolls,Magic
Scroll of True Strike,Scrolls,Magic
Scroll of Unseen Servant,Scrolls,Magic
Scroll of Ventriloquism,Scrolls,Magic
Scroll of Acid Arrow,Scrolls,Magic
Scroll of Alter Self,Scrolls,Magic
Scroll of Arcane Lock,Scrolls,Magic
Scroll of Bear's Endurance (Arcane),Scrolls,Magic
Scroll of Blindness/Deafness (Arcane),Scrolls,Magic
Scroll of Blur,Scrolls,Magic
Scroll of Bull's Strength (Arcane),Scrolls,Magic
Scroll of Cat's Grace (Arcane),Scrolls,Magic
Scroll of Command Undead,Scrolls,Magic
Scroll of Continual Flame (Arcane),Scrolls,Magic
Scroll of Darkness (Arcane),Scrolls,Magic
Scroll of Darkvision,Scrolls,Magic
Scroll of Daze Monster,Scrolls,Magic
Scroll of Detect Thoughts,Scrolls,Magic
Scroll of Eagle's Splendor (Arcane),Scrolls,Magic
Scroll of False Life,Scrolls,Magic
Scroll of Flaming Sphere,Scrolls,Magic
Scroll of Fog Cloud,Scrolls,Magic
Scroll of Fox's Cunning (Arcane),Scrolls,Magic
Scroll of Ghoul Touch,Scrolls,Magic
Scroll of Glitterdust,Scrolls,Magic
Scroll of Gust of Wind (Arcane),Scrolls,Magic
Scroll of Hideous Laughter,Scrolls,Magic
Scroll of Hypnotic Pattern,Scrolls,Magic
Scroll of Invisibility,Scrolls,Magic
Scroll of Knock,Scrolls,Magic
Scroll of Levitate,Scrolls,Magic
Scroll of Locate Object (Arcane),Scrolls,Magic
Scroll of Magic Mouth (Arcane),Scrolls,Magic
Scroll of Make Whole (Arcane),Scrolls,Magic
Scroll of Minor Image,Scrolls,Magic
Scroll of Mirror Image,Scrolls,Magic
Scroll of Misdirection,Scrolls,Magic
Scroll of Obscure Object (Arcane),Scrolls,Magic
Scroll of Owl's Wisdom (Arcane),Scrolls,Magic
Scroll of Phantom Trap,Scrolls,Magic
Scroll of Protection from Arrows,Scrolls,Magic
Scroll of Pyrotechnics,Scrolls,Magic
Scroll of Resist Energy (Arcane),Scrolls,Magic
Scroll of Rope Trick,Scrolls,Magic
Scroll of Scare,Scrolls,Magic
Scroll of Scorching Ray,Scrolls,Magic
Scroll of See Invisibility,Scrolls,Magic
Scroll of Shatter (Arcane),Scrolls,Magic
Scroll of Spectral Hand,Scrolls,Magic
Scroll of Spider Climb,Scrolls,Magic
Scroll of Summon Monster II (Arcane),Scrolls,Magic
Scroll of Summon Swarm,Scrolls,Magic
Scroll of Touch of Idiocy,Scrolls,Magic
Scroll of Web,Scrolls,Magic
Scroll of Whispering Wind,Scrolls,Magic
Scroll of Arcane Sight,Scrolls,Magic
Scroll of Beast Shape I,Scrolls,Magic
Scroll of Blink,Scrolls,Magic
Scroll of Clairaudience/Clairvoyance,Scrolls,Magic
Scroll of Daylight (Arcane),Scrolls,Magic
Scroll of Deep Slumber,Scrolls,Magic
Scroll of Dispel Magic (Arcane),Scrolls,Magic
Scroll of Displacement,Scrolls,Magic
Scroll of Explosive Runes,Scrolls,Magic
Scroll of Fireball,Scrolls,Magic
Scroll of Flame Arrow,Scrolls,Magic
Scroll of Fly,Scrolls,Magic
Scroll of Gaseous Form,Scrolls,Magic
Scroll of Gentle Repose (Arcane),Scrolls,Magic
Scroll of Halt Undead,Scrolls,Magic
Scroll of Haste,Scrolls,Magic
Scroll of Heroism,Scrolls,Magic
Scroll of Hold Person (Arcane),Scrolls,Magic
Scroll of Illusory Script,Scrolls,Magic
Scroll of Invisibility Sphere,Scrolls,Magic
Scroll of Keen Edge,Scrolls,Magic
Scroll of Lightning Bolt,Scrolls,Magic
Scroll of Magic Circle Against Chaos (Arcane),Scrolls,Magic
Scroll of Magic Circle Against Evil (Arcane),Scrolls,Magic
Scroll of Magic Circle Against Good (Arcane),Scrolls,Magic
Scroll of Magic Circle Against Law (Arcane),Scrolls,Magic
"Scroll of Magic Weapon, Greater (Arcane)",Scrolls,Magic
Scroll of Major Image,Scrolls,Magic
Scroll of Nondetection,Scrolls,Magic
Scroll of Phantom Steed,Scrolls,Magic
Scroll of Protection from Energy (Arcane),Scrolls,Magic
Scroll of Rage,Scrolls,Magic
Scroll of Ray of Exhaustion,Scrolls,Magic
Scroll of Secret Page (Arcane),Scrolls,Magic
Scroll of Sepia Snake Sigil,Scrolls,Magic
Scroll of Shrink Item,Scrolls,Magic
Scroll of Sleet Storm,Scrolls,Magic
Scroll of Slow,Scrolls,Magic
Scroll of Stinking Cloud,Scrolls,Magic
Scroll of Suggestion,Scrolls,Magic
Scroll of Summon Monster III (Arcane),Scrolls,Magic
Scroll of Tiny Hut,Scrolls,Magic
Scroll of Tongues (Arcane),Scrolls,Magic
Scroll of Vampiric Touch,Scrolls,Magic
Scroll of Water Breathing (Arcane),Scrolls,Magic
Scroll of Wind Wall (Arcane),Scrolls,Magic
Scroll of Animate Dead (Arcane),Scrolls,Magic
Scroll of Arcane Eye,Scrolls,Magic
Scroll of Beast Shape II,Scrolls,Magic
Scroll of Bestow Curse (Arcane),Scrolls,Magic
Scroll of Black Tentacles,Scrolls,Magic
Scroll of Charm Monster,Scrolls,Magic
Scroll of Confusion,Scrolls,Magic
Scroll of Contagion (Arcane),Scrolls,Magic
Scroll of Crushing Despair,Scrolls,Magic
Scroll of Detect Scrying,Scrolls,Magic
Scroll of Dimension Door,Scrolls,Magic
Scroll of Dimensional Anchor (Arcane),Scrolls,Magic
Scroll of Elemental Body I,Scrolls,Magic
Scroll of Enervation,Scrolls,Magic
"Scroll of Enlarge Person, Mass",Scrolls,Magic
Scroll of Fear,Scrolls,Magic
Scroll of Fire Shield,Scrolls,Magic
Scroll of Fire Trap,Scrolls,Magic
"Scroll of Geas, Lesser",Scrolls,Magic
"Scroll of Globe of Invulnerability, Lesser",Scrolls,Magic
Scroll of Hallucinatory Terrain,Scrolls,Magic
Scroll of Ice Storm,Scrolls,Magic
Scroll of Illusory Wall,Scrolls,Magic
"Scroll of Invisibility, Greater",Scrolls,Magic
Scroll of Locate Creature,Scrolls,Magic
Scroll of Minor Creation (Arcane),Scrolls,Magic
Scroll of Mnemonic Enhancer,Scrolls,Magic
Scroll of Phantasmal Killer,Scrolls,Magic
Scroll of Rainbow Pattern,Scrolls,Magic
"Scroll of Reduce Person, Mass",Scrolls,Magic
Scroll of Remove Curse (Arcane),Scrolls,Magic
Scroll of Resilient Sphere,Scrolls,Magic
Scroll of Scrying (Arcane),Scrolls,Magic
Scroll of Secure Shelter,Scrolls,Magic
Scroll of Shadow Conjuration (Arcane),Scrolls,Magic
Scroll of Shout,Scrolls,Magic
Scroll of Solid Fog,Scrolls,Magic
Scroll of Stone Shape (Arcane),Scrolls,Magic
Scroll of Stoneskin,Scrolls,Magic
Scroll of Summon Monster IV (Arcane),Scrolls,Magic
Scroll of Wall of Fire,Scrolls,Magic
Scroll of Wall of Ice,Scrolls,Magic
Scroll of Animal Growth,Scrolls,Magic
Scroll of Baleful Polymorph,Scrolls,Magic
Scroll of Beast Shape III,Scrolls,Magic
Scroll of Blight (Arcane),Scrolls,Magic
Scroll of Break Enchantment (Arcane),Scrolls,Magic
Scroll of Cloudkill,Scrolls,Magic
Scroll of Cone of Cold,Scrolls,Magic
Scroll of Contact Other Plane,Scrolls,Magic
Scroll of Dismissal (Arcane),Scrolls,Magic
Scroll of Dominate Person,Scrolls,Magic
Scroll of Dream,Scrolls,Magic
Scroll of Elemental Body II,Scrolls,Magic
Scroll of Fabricate (Arcane),Scrolls,Magic
Scroll of False Vision,Scrolls,Magic
Scroll of Feeblemind,Scrolls,Magic
Scroll of Hold Monster,Scrolls,Magic
Scroll of Interposing Hand,Scrolls,Magic
Scroll of Mage's Faithful Hound,Scrolls,Magic
Scroll of Mage's Private Sanctum,Scrolls,Magic
Scroll of Magic Jar,Scrolls,Magic
Scroll of Major Creation (Arcane),Scrolls,Magic
Scroll of Mind Fog,Scrolls,Magic
Scroll of Mirage Arcana,Scrolls,Magic
Scroll of Nightmare (Arcane),Scrolls,Magic
Scroll of Overland Flight,Scrolls,Magic
Scroll of Passwall,Scrolls,Magic
Scroll of Permanency,Scrolls,Magic
Scroll of Persistent Image,Scrolls,Magic
"Scroll of Planar Binding, Lesser",Scrolls,Magic
Scroll of Plant Shape I,Scrolls,Magic
Scroll of Polymorph,Scrolls,Magic
Scroll of Prying Eyes,Scrolls,Magic
Scroll of Secret Chest,Scrolls,Magic
Scroll of Seeming,Scrolls,Magic
Scroll of Sending (Arcane),Scrolls,Magic
Scroll of Shadow Evocation,Scrolls,Magic
Scroll of Summon Monster V (Arcane),Scrolls,Magic
Scroll of Symbol of Pain (Arcane),Scrolls,Magic
Scroll of Symbol of Sleep (Arcane),Scrolls,Magic
Scroll of Telekinesis,Scrolls,Magic
Scroll of Telepathic Bond,Scrolls,Magic
Scroll of Teleport,Scrolls,Magic
Scroll of Transmute Mud to Rock (Arcane),Scrolls,Magic
Scroll of Transmute Rock to Mud (Arcane),Scrolls,Magic
Scroll of Wall of Force,Scrolls,Magic
Scroll of Wall of Stone (Arcane),Scrolls,Magic
Scroll of Waves of Fatigue,Scrolls,Magic
Scroll of Acid Fog,Scrolls,Magic
Scroll of Analyze Dweomer,Scrolls,Magic
Scroll of Antimagic Field (Arcane),Scrolls,Magic
"Scroll of Bear's Endurance, Mass (Arcane)",Scrolls,Magic
Scroll of Beast Shape IV,Scrolls,Magic
"Scroll of Bull's Strength, Mass (Arcane)",Scrolls,Magic
"Scroll of Cat's Grace, Mass (Arcane)",Scrolls,Magic
Scroll of Chain Lightning,Scrolls,Magic
Scroll of Circle of Death,Scrolls,Magic
Scroll of Contingency,Scrolls,Magic
Scroll of Control Water (Arcane),Scrolls,Magic
Scroll of Create Undead (Arcane),Scrolls,Magic
Scroll of Disintegrate,Scrolls,Magic
"Scroll of Dispel Magic, Greater (Arcane)",Scrolls,Magic
"Scroll of Eagle's Splendor, Mass (Arcane)",Scrolls,Magic
Scroll of Elemental Body III,Scrolls,Magic
Scroll of Eyebite,Scrolls,Magic
Scroll of Flesh to Stone,Scrolls,Magic
Scroll of Forceful Hand,Scrolls,Magic
Scroll of Form of the Dragon I,Scrolls,Magic
"Scroll of Fox's Cunning, Mass (Arcane)",Scrolls,Magic
Scroll of Freezing Sphere,Scrolls,Magic
Scroll of Geas/Quest (Arcane),Scrolls,Magic
Scroll of Globe of Invulnerability,Scrolls,Magic
Scroll of Guards and Wards,Scrolls,Magic
"Scroll of Heroism, Greater",Scrolls,Magic
Scroll of Legend Lore,Scrolls,Magic
Scroll of Mage's Lucubration,Scrolls,Magic
Scroll of Mislead,Scrolls,Magic
Scroll of Move Earth,Scrolls,Magic
"Scroll of Owl's Wisdom, Mass (Arcane)",Scrolls,Magic
Scroll of Permanent Image,Scrolls,Magic
Scroll of Planar Binding (Arcane),Scrolls,Magic
Scroll of Plant Shape II,Scrolls,Magic
Scroll of Programmed Image,Scrolls,Magic
Scroll of Repulsion (Arcane),Scrolls,Magic
Scroll of Shadow Walk,Scrolls,Magic
Scroll of Stone to Flesh,Scrolls,Magic
"Scroll of Suggestion, Mass",Scrolls,Magic
Scroll of Summon Monster VI (Arcane),Scrolls,Magic
Scroll of Symbol of Fear (Arcane),Scrolls,Magic
Scroll of Symbol of Persuasion (Arcane),Scrolls,Magic
Scroll of Transformation,Scrolls,Magic
Scroll of True Seeing (Arcane),Scrolls,Magic
Scroll of Undeath to Death (Arcane),Scrolls,Magic
Scroll of Veil,Scrolls,Magic
Scroll of Wall of Iron (Arcane),Scrolls,Magic
"Scroll of Arcane Sight, Greater",Scrolls,Magic
Scroll of Banishment (Arcane),Scrolls,Magic
Scroll of Control Undead,Scrolls,Magic
Scroll of Control Weather (Arcane),Scrolls,Magic
Scroll of Delayed Blast Fireball,Scrolls,Magic
Scroll of Elemental Body IV,Scrolls,Magic
Scroll of Ethereal Jaunt (Arcane),Scrolls,Magic
Scroll of Finger of Death,Scrolls,Magic
Scroll of Forcecage,Scrolls,Magic
Scroll of Form of the Dragon II,Scrolls,Magic
Scroll of Giant Form I,Scrolls,Magic
Scroll of Grasping Hand (Arcane),Scrolls,Magic
"Scroll of Hold Person, Mass",Scrolls,Magic
Scroll of Insanity,Scrolls,Magic
Scroll of Instant Summons (Arcane),Scrolls,Magic
"Scroll of Invisibility, Mass",Scrolls,Magic
Scroll of Limited Wish,Scrolls,Magic
Scroll of Mage's Magnificent Mansion,Scrolls,Magic
Scroll of Mage's Sword,Scrolls,Magic
Scroll of Phase Door,Scrolls,Magic
Scroll of Plane Shift (Arcane),Scrolls,Magic
Scroll of Plant Shape III,Scrolls,Magic
"Scroll of Polymorph, Greater",Scrolls,Magic
Scroll of Power Word Blind,Scrolls,Magic
Scroll of Prismatic Spray,Scrolls,Magic
Scroll of Project Image,Scrolls,Magic
Scroll of Reverse Gravity,Scrolls,Magic
"Scroll of Scrying, Greater (Arcane)",Scrolls,Magic
Scroll of Sequester,Scrolls,Magic
"Scroll of Shadow Conjuration, Greater",Scrolls,Magic
Scroll of Simulacrum,Scrolls,Magic
Scroll of Spell Turning,Scrolls,Magic
Scroll of Statue,Scrolls,Magic
Scroll of Summon Monster VII (Arcane),Scrolls,Magic
Scroll of Symbol of Stunning (Arcane),Scrolls,Magic
Scroll of Symbol of Weakness (Arcane),Scrolls,Magic
Scroll of Teleport Object,Scrolls,Magic
"Scroll of Teleport, Greater",Scrolls,Magic
Scroll of Vision,Scrolls,Magic
Scroll of Waves of Exhaustion,Scrolls,Magic
Scroll of Antipathy (Arcane),Scrolls,Magic
Scroll of Binding,Scrolls,Magic
"Scroll of Charm Monster, Mass",Scrolls,Magic
Scroll of Clenched Fist (Arcane),Scrolls,Magic
Scroll of Clone,Scrolls,Magic
"Scroll of Create Undead, Greater (Arcane)",Scrolls,Magic
Scroll of Demand,Scrolls,Magic
Scroll of Dimensional Lock (Arcane),Scrolls,Magic
Scroll of Discern Location (Arcane),Scrolls,Magic
Scroll of Form of the Dragon III,Scrolls,Magic
Scroll of Giant Form II,Scrolls,Magic
Scroll of Horrid Wilting,Scrolls,Magic
Scroll of Incendiary Cloud,Scrolls,Magic
Scroll of Iron Body,Scrolls,Magic
Scroll of Irresistible Dance,Scrolls,Magic
Scroll of Maze,Scrolls,Magic
Scroll of Mind Blank,Scrolls,Magic
Scroll of Moment of Prescience,Scrolls,Magic
"Scroll of Planar Binding, Greater",Scrolls,Magic
Scroll of Polar Ray,Scrolls,Magic
Scroll of Polymorph Any Object,Scrolls,Magic
Scroll of Power Word Stun,Scrolls,Magic
Scroll of Prismatic Wall,Scrolls,Magic
Scroll of Protection from Spells,Scrolls,Magic
"Scroll of Prying Eyes, Greater",Scrolls,Magic
Scroll of Scintillating Pattern,Scrolls,Magic
Scroll of Screen,Scrolls,Magic
"Scroll of Shadow Evocation, Greater (Arcane)",Scrolls,Magic
"Scroll of Shout, Greater",Scrolls,Magic
Scroll of Summon Monster VIII (Arcane),Scrolls,Magic
Scroll of Sunburst,Scrolls,Magic
Scroll of Symbol of Death (Arcane),Scrolls,Magic
Scroll of Symbol of Insanity (Arcane),Scrolls,Magic
Scroll of Sympathy (Arcane),Scrolls,Magic
Scroll of Telekinetic Sphere,Scrolls,Magic
Scroll of Temporal Stasis,Scrolls,Magic
Scroll of Trap the Soul,Scrolls,Magic
Scroll of Astral Projection (Arcane),Scrolls,Magic
Scroll of Crushing Hand (Arcane),Scrolls,Magic
Scroll of Dominate Monster,Scrolls,Magic
Scroll of Energy Drain (Arcane),Scrolls,Magic
Scroll of Etherealness (Arcane),Scrolls,Magic
Scroll of Foresight,Scrolls,Magic
Scroll of Freedom,Scrolls,Magic
Scroll of Gate (Arcane),Scrolls,Magic
"Scroll of Hold Monster, Mass",Scrolls,Magic
Scroll of Imprisonment,Scrolls,Magic
Scroll of Mage's Disjunction,Scrolls,Magic
Scroll of Meteor Swarm,Scrolls,Magic
Scroll of Power Word Kill,Scrolls,Magic
Scroll of Prismatic Sphere,Scrolls,Magic
Scroll of Refuge (Arcane),Scrolls,Magic
Scroll of Shades (Arcane),Scrolls,Magic
Scroll of Shapechange,Scrolls,Magic
Scroll of Soul Bind (Arcane),Scrolls,Magic
Scroll of Summon Monster IX (Arcane),Scrolls,Magic
Scroll of Teleportation Circle,Scrolls,Magic
Scroll of Time Stop,Scrolls,Magic
Scroll of Wail of the Banshee,Scrolls,Magic
Scroll of Weird,Scrolls,Magic
Scroll of Wish,Scrolls,Magic
Scroll of Bleed (Divine),Scrolls,Magic
Scroll of Create Water,Scrolls,Magic
Scroll of Detect Magic (Divine),Scrolls,Magic
Scroll of Detect Poison (Divine),Scrolls,Magic
Scroll of Guidance,Scrolls,Magic
Scroll of Light (Divine),Scrolls,Magic
Scroll of Mending (Divine),Scrolls,Magic
Scroll of Purify Food and Drink,Scrolls,Magic
Scroll of Read Magic (Divine),Scrolls,Magic
Scroll of Resistance (Divine),Scrolls,Magic
Scroll of Stabilize,Scrolls,Magic
Scroll of Virtue,Scrolls,Magic
Scroll of Bane,Scrolls,Magic
Scroll of Bless,Scrolls,Magic
Scroll of Bless Water,Scrolls,Magic
Scroll of Cause Fear (Divine),Scrolls,Magic
Scroll of Command,Scrolls,Magic
Scroll of Comprehend Languages (Divine),Scrolls,Magic
Scroll of Cure Light Wounds,Scrolls,Magic
Scroll of Curse Water,Scrolls,Magic
Scroll of Deathwatch,Scrolls,Magic
Scroll of Detect Chaos,Scrolls,Magic
Scroll of Detect Evil,Scrolls,Magic
Scroll of Detect Good,Scrolls,Magic
Scroll of Detect Law,Scrolls,Magic
Scroll of Detect Undead (Divine),Scrolls,Magic
Scroll of Divine Favor,Scrolls,Magic
Scroll of Doom,Scrolls,Magic
Scroll of Endure Elements (Divine),Scrolls,Magic
Scroll of Entropic Shield,Scrolls,Magic
Scroll of Hide from Undead,Scrolls,Magic
Scroll of Inflict Light Wounds,Scrolls,Magic
Scroll of Magic Stone,Scrolls,Magic
Scroll of Magic Weapon (Divine),Scrolls,Magic
Scroll of Obscuring Mist (Divine),Scrolls,Magic
Scroll of Protection from Chaos (Divine),Scrolls,Magic
Scroll of Protection from Evil (Divine),Scrolls,Magic
Scroll of Protection from Good (Divine),Scrolls,Magic
Scroll of Protection from Law (Divine),Scrolls,Magic
Scroll of Remove Fear,Scrolls,Magic
Scroll of Sanctuary,Scrolls,Magic
Scroll of Shield of Faith,Scrolls,Magic
Scroll of Summon Monster I (Divine),Scrolls,Magic
Scroll of Aid,Scrolls,Magic
Scroll of Align Weapon,Scrolls,Magic
Scroll of Augury,Scrolls,Magic
Scroll of Bear's Endurance (Divine),Scrolls,Magic
Scroll of Bull's Strength (Divine),Scrolls,Magic
Scroll of Calm Emotions,Scrolls,Magic
Scroll of Cat's Grace (Divine),Scrolls,Magic
Scroll of Consecrate,Scrolls,Magic
Scroll of Cure Moderate Wounds,Scrolls,Magic
Scroll of Darkness (Divine),Scrolls,Magic
Scroll of Death Knell,Scrolls,Magic
Scroll of Delay Poison,Scrolls,Magic
Scroll of Desecrate,Scrolls,Magic
Scroll of Eagle's Splendor (Divine),Scrolls,Magic
Scroll of Enthrall,Scrolls,Magic
Scroll of Find Traps,Scrolls,Magic
Scroll of Gentle Repose (Divine),Scrolls,Magic
Scroll of Hold Person (Divine),Scrolls,Magic
Scroll of Inflict Moderate Wounds,Scrolls,Magic
Scroll of Make Whole (Divine),Scrolls,Magic
Scroll of Owl's Wisdom (Divine),Scrolls,Magic
Scroll of Remove Paralysis,Scrolls,Magic
Scroll of Resist Energy (Divine),Scrolls,Magic
"Scroll of Restoration, Lesser",Scrolls,Magic
Scroll of Shatter (Divine),Scrolls,Magic
Scroll of Shield Other,Scrolls,Magic
Scroll of Silence,Scrolls,Magic
